epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,836.58,1.27714,0.60637,1.03215,0.77522,0.72653,0.76047,0.31349,2.07411,0.94302,1.40306,0.000614,0.000614,0.000614
44,855.41,1.18329,0.58339,0.98422,0.77522,0.72653,0.76047,0.31349,2.07411,0.94302,1.40306,0.000581,0.000581,0.000581
45,874.237,1.17836,0.59094,0.94682,0.77719,0.73447,0.79623,0.29666,2.10562,1.00684,1.40937,0.000548,0.000548,0.000548
46,892.908,1.10005,0.63216,0.90042,0.77719,0.73447,0.79623,0.29666,2.10562,1.00684,1.40937,0.000515,0.000515,0.000515
47,911.609,1.17278,0.57162,0.91848,0.78868,0.78592,0.79689,0.28513,2.19476,0.98778,1.44006,0.000482,0.000482,0.000482
48,929.973,1.11897,0.56743,0.92969,0.78868,0.78592,0.79689,0.28513,2.19476,0.98778,1.44006,0.000449,0.000449,0.000449
49,948.533,1.13521,0.58325,0.88303,0.83045,0.73684,0.81992,0.37899,1.95471,0.80158,1.33567,0.000416,0.000416,0.000416
50,967.208,1.14088,0.56863,0.97077,0.83045,0.73684,0.81992,0.37899,1.95471,0.80158,1.33567,0.000383,0.000383,0.000383
51,985.659,1.14688,0.57372,1.00446,0.83151,0.73684,0.8108,0.40082,1.86223,0.75267,1.29969,0.00035,0.00035,0.00035
52,1004.06,1.01871,0.58366,0.90569,0.83151,0.73684,0.8108,0.40082,1.86223,0.75267,1.29969,0.000317,0.000317,0.000317
53,1022.58,1.10998,0.58422,0.92093,0.82219,0.73684,0.78966,0.3574,1.93842,0.79873,1.34523,0.000284,0.000284,0.000284
54,1040.68,0.96821,0.51823,0.91675,0.82219,0.73684,0.78966,0.3574,1.93842,0.79873,1.34523,0.000251,0.000251,0.000251
55,1058.94,0.99973,0.558,0.90522,0.89901,0.78947,0.86927,0.36307,1.95084,0.80308,1.36564,0.000218,0.000218,0.000218
56,1077.69,0.95869,0.50939,0.90437,0.89901,0.78947,0.86927,0.36307,1.95084,0.80308,1.36564,0.000185,0.000185,0.000185
57,1096.51,1.03574,0.5309,0.89515,0.89481,0.78947,0.86529,0.36285,1.93925,0.79869,1.369,0.000152,0.000152,0.000152
58,1115.13,1.06651,0.6019,0.95167,0.89481,0.78947,0.86529,0.36285,1.93925,0.79869,1.369,0.000119,0.000119,0.000119
59,1133.81,1.0372,0.53191,0.97129,0.89224,0.78947,0.85133,0.38038,1.91964,0.80156,1.35911,8.6e-05,8.6e-05,8.6e-05
60,1152.29,0.95308,0.50318,0.87869,0.89224,0.78947,0.85133,0.38038,1.91964,0.80156,1.35911,5.3e-05,5.3e-05,5.3e-05
